REGIÃO/UF,1976/77,1976/77,1976/77,1977/78 ,1977/78 ,1977/78 ,1978/79,1978/79,1978/79,1979/80,1979/80,1979/80,1980/81,1980/81,1980/81,1981/82,1981/82,1981/82,1982/83,1982/83,1982/83,1983/84,1983/84,1983/84,1984/85,1984/85,1984/85,1985/86,1985/86,1985/86,1986/87,1986/87,1986/87,1987/88,1987/88,1987/88,1988/89,1988/89,1988/89,1989/90,1989/90,1989/90,1990/91,1990/91,1990/91,1991/92,1991/92,1991/92,1992/93,1992/93,1992/93,1993/94,1993/94,1993/94,1994/95,1994/95,1994/95,1995/96,1995/96,1995/96,1996/97,1996/97,1996/97,1997/98,1997/98,1997/98,1998/99,1998/99,1998/99,1999/00,1999/00,1999/00,2000/01,2000/01,2000/01,2001/02,2001/02,2001/02,2002/03,2002/03,2002/03,2003/04,2003/04,2003/04,2004/05,2004/05,2004/05,2005/06,2005/06,2005/06,2006/07,2006/07,2006/07,2007/08,2007/08,2007/08,2008/09,2008/09,2008/09,2009/10 ,2009/10 ,2009/10 ,2010/11,2010/11 ,2010/11 ,2011/12,2011/12,2011/12,2012/13,2012/13,2012/13,2013/14,2013/14,2013/14,2014/15,2014/15,2014/15,2015/16,2015/16,2015/16,2016/17,2016/17,2016/17,2017/18,2017/18,2017/18,2018/19,2018/19,2018/19,2019/20,2019/20,2019/20,2020/21 Previsão (¹),2020/21 Previsão (¹),2020/21 Previsão (¹)
RR," 4,8 ", 1.021 , 5 ," 3,2 ", 938 , 3 ," 3,2 ", 938 , 3 ," 6,0 ", 950 , 6 ," 16,0 ", 938 , 15 ," 4,6 ", 913 , 4 ," 7,0 ", 443 , 3 ," 5,0 ", 820 , 4 ," 6,7 ", 836 , 6 ," 6,7 ", 836 , 6 ," 9,4 ", 628 , 6 ," 3,3 ", 606 , 2 ," 5,1 ", 1.039 , 5 ," 3,2 ", 969 , 3 ," 3,2 ", 969 ," 3,1 "," 5,0 ", 1.000 ," 5,0 "," 5,0 ", 1.000 ," 5,0 "," 5,0 ", 1.000 ," 5,0 "," 12,8 ", 1.203 ," 15,4 "," 12,8 ", 1.203 ," 15,4 "," 12,8 ", 1.203 ," 15,4 "," 13,5 ", 1.200 ," 16,2 "," 15,0 ", 1.300 ," 19,5 "," 15,0 ", 1.300 ," 19,5 "," 11,0 ", 1.500 ," 16,5 "," 9,5 ", 3.600 ," 34,2 "," 8,9 ", 4.798 ," 42,7 "," 17,3 ", 2.503 ," 43,3 "," 13,0 ", 2.000 ," 26,0 "," 12,2 ", 2.000 ," 24,4 "," 12,2 ", 2.000 ," 24,4 "," 6,4 ", 2.000 ," 12,8 "," 6,5 ", 1.969 ," 12,8 "," 6,5 ", 1.969 ," 12,8 "," 6,5 ", 2.000 ," 13,0 "," 6,5 ", 2.000 ," 13,0 ","6,5",2.000,"13,0","6,2",923,"5,7","6,2",2.483,"15,4"," 4,6 ", 3.036 ," 14,0 "," 7,6 ", 6.000 ," 45,6 "," 9,6 ", 4.857 ," 46,6 "," 13,0 ", 6.000 ," 78,0 "," 15,0 ", 6.000 ," 90,0 "," 15,0 ", 5.721 ," 85,8 "
RO," 22,7 ", 1.502 , 34 ," 35,3 ", 1.527 , 54 ," 35,8 ", 1.486 , 53 ," 63,0 ", 1.711 , 108 ," 70,0 ", 1.600 , 112 ," 81,0 ", 1.684 , 136 ," 66,7 ", 1.460 , 97 ," 113,0 ", 1.450 , 164 ," 91,0 ", 1.600 , 146 ," 105,6 ", 1.800 , 190 ," 107,3 ", 1.670 , 179 ," 122,2 ", 1.670 , 204 ," 130,0 ", 1.670 , 217 ," 117,0 ", 1.750 , 205 ," 117,0 ", 1.750 ," 204,8 "," 146,7 ", 1.800 ," 264,1 "," 154,0 ", 1.940 ," 298,8 "," 196,0 ", 1.980 ," 388,1 "," 201,9 ", 1.890 ," 381,6 "," 208,0 ", 1.859 ," 386,7 "," 203,4 ", 1.900 ," 386,5 "," 144,4 ", 1.830 ," 264,3 "," 140,1 ", 1.550 ," 217,2 "," 128,2 ", 1.750 ," 224,4 "," 125,0 ", 1.650 ," 206,3 "," 98,0 ", 1.820 ," 178,4 "," 100,0 ", 1.840 ," 184,0 "," 131,5 ", 2.058 ," 275,4 "," 137,3 ", 1.950 ," 267,8 "," 142,3 ", 2.011 ," 286,2 "," 137,4 ", 2.201 ," 302,4 "," 160,3 ", 2.395 ," 383,9 "," 145,6 ", 2.248 ," 327,4 "," 166,6 ", 2.246 ," 374,2 "," 149,7 ", 2.344 ," 350,9 "," 162,3 ", 2.796 ," 453,7 ","166,2",3.018,"501,6","149,3",3.051,"455,5","165,5",3.935,"651,3"," 158,1 ", 4.135 ," 653,8 "," 197,1 ", 4.033 ," 795,0 "," 178,2 ", 4.166 ," 742,4 "," 190,1 ", 4.883 ," 928,2 "," 197,9 ", 5.074 ," 1.004,1 "," 197,9 ", 4.783 ," 946,6 "
AC," 17,0 ", 1.176 , 20 ," 17,5 ", 1.200 , 21 ," 13,0 ", 1.154 , 15 ," 17,0 ", 1.335 , 23 ," 18,0 ", 1.389 , 25 ," 20,0 ", 1.320 , 26 ," 25,0 ", 840 , 21 ," 21,4 ", 1.248 , 27 ," 23,0 ", 1.122 , 26 ," 23,9 ", 1.201 , 29 ," 27,0 ", 1.281 , 35 ," 27,6 ", 1.478 , 41 ," 31,2 ", 1.580 , 49 ," 30,5 ", 1.590 , 49 ," 30,5 ", 1.590 ," 48,5 "," 35,0 ", 1.751 ," 61,3 "," 35,0 ", 1.751 ," 61,3 "," 36,3 ", 1.697 ," 61,6 "," 37,6 ", 1.540 ," 57,9 "," 37,9 ", 1.541 ," 58,4 "," 21,0 ", 1.371 ," 28,8 "," 24,7 ", 1.356 ," 33,5 "," 28,6 ", 1.472 ," 42,1 "," 34,9 ", 1.501 ," 52,4 "," 30,0 ", 1.520 ," 45,6 "," 33,0 ", 1.552 ," 51,2 "," 34,0 ", 1.456 ," 49,5 "," 38,0 ", 1.529 ," 52,0 "," 42,5 ", 1.489 ," 63,3 "," 36,6 ", 1.459 ," 53,4 "," 37,0 ", 1.519 ," 56,2 "," 24,3 ", 1.729 ," 42,0 "," 24,5 ", 1.803 ," 44,2 "," 29,0 ", 1.992 ," 57,8 "," 37,7 ", 2.220 ," 83,7 "," 43,8 ", 2.290 ," 100,3 ","46,1",2.421,"111,6","46,5",2.340,"108,8","41,3",2.332,"96,3"," 39,6 ", 2.442 ," 96,7 "," 34,9 ", 2.350 ," 82,0 "," 31,0 ", 2.616 ," 81,1 "," 34,9 ", 2.364 ," 82,5 "," 32,4 ", 2.476 ," 80,2 "," 28,5 ", 2.413 ," 68,8 "
AM," 5,5 ", 1.000 , 6 ," 5,5 ", 1.000 , 6 ," 6,0 ", 1.000 , 6 ," 9,0 ", 1.133 , 10 ," 4,0 ", 1.500 , 6 ," 4,8 ", 1.313 , 6 ," 1,6 ", 2.563 , 4 ," 1,1 ", 2.000 , 2 ," 1,6 ", 1.625 , 3 ," 1,9 ", 1.842 , 4 ," 2,7 ", 1.185 , 3 ," 2,5 ", 1.680 , 4 ," 3,0 ", 1.533 , 5 ," 3,1 ", 1.323 , 4 ," 4,5 ", 1.511 ," 6,8 "," 4,5 ", 1.511 ," 6,8 "," 4,5 ", 1.511 ," 6,8 "," 3,8 ", 1.816 ," 6,9 "," 6,0 ", 1.633 ," 9,8 "," 4,2 ", 1.524 ," 6,4 "," 6,1 ", 1.623 ," 9,9 "," 10,3 ", 1.311 ," 13,5 "," 11,8 ", 1.466 ," 17,3 "," 11,8 ", 1.466 ," 17,3 "," 10,5 ", 1.505 ," 15,8 "," 10,5 ", 1.400 ," 14,7 "," 10,9 ", 1.440 ," 15,7 "," 10,9 ", 1.440 ," 15,7 "," 12,9 ", 1.938 ," 25,0 "," 12,9 ", 1.798 ," 23,2 "," 19,7 ", 2.249 ," 44,3 "," 13,8 ", 2.554 ," 35,2 "," 12,2 ", 2.460 ," 30,0 "," 12,8 ", 2.490 ," 31,9 "," 14,0 ", 2.500 ," 35,0 "," 14,4 ", 2.500 ," 36,0 ","12,9",2.390,"30,8","11,0",2.627,"28,9","15,5",2.540,"39,4"," 5,4 ", 2.515 ," 13,6 "," 12,2 ", 2.526 ," 30,8 "," 8,1 ", 2.560 ," 20,7 "," 11,0 ", 2.500 ," 27,5 "," 11,2 ", 2.535 ," 28,4 "," 8,9 ", 2.607 ," 23,2 "
AP," 0,5 ", 799 , 0 ," 0,5 ", 789 , 0 ," 0,8 ", 772 , 1 ," 0,7 ", 764 , 1 ," 2,3 ", 474 , 1 ," 1,6 ", 714 , 1 ," 1,3 ", 672 , 1 ," 1,1 ", 621 , 1 ," 1,2 ", 687 , 1 ," 0,9 ", 675 , 1 ," 0,5 ", 1.018 , 0 ," 0,7 ", 823 , 1 ," 0,8 ", 647 , 1 ," 0,4 ", 835 , 0 ,,,,,,,,,,,,,,,,,,,,,,,,," 1,2 ", 667 ," 0,8 "," 1,2 ", 833 ," 1,0 "," 1,8 ", 778 ," 1,4 "," 2,0 ", 750 ," 1,5 "," 1,5 ", 800 ," 1,2 "," 1,5 ", 800 ," 1,2 "," 1,5 ", 867 ," 1,3 "," 1,5 ", 800 ," 1,2 "," 2,1 ", 857 ," 1,8 "," 3,2 ", 745 ," 2,4 "," 3,5 ", 860 ," 3,0 "," 3,6 ", 903 ," 3,3 "," 3,6 ", 803 ," 2,9 "," 2,6 ", 825 ," 2,1 ","2,3",826,"1,9","2,2",921,"2,0","1,8",907,"1,6"," 1,8 ", 902 ," 1,6 "," 1,7 ", 962 ," 1,6 "," 1,6 ", 988 ," 1,6 "," 1,4 ", 933 ," 1,3 "," 1,4 ", 972 ," 1,4 "," 1,4 ", 976 ," 1,4 "
PA," 66,6 ", 802 , 53 ," 66,2 ", 822 , 54 ," 50,0 ", 960 , 48 ," 83,0 ", 930 , 77 ," 82,0 ", 671 , 55 ," 123,7 ", 1.150 , 142 ," 74,1 ", 1.065 , 79 ," 113,3 ", 1.150 , 130 ," 113,0 ", 1.150 , 130 ," 144,3 ", 1.060 , 153 ," 172,0 ", 1.130 , 194 ," 247,2 ", 1.260 , 312 ," 246,2 ", 1.320 , 325 ," 163,6 ", 1.240 , 203 ," 202,2 ", 1.370 ," 277,0 "," 177,0 ", 1.200 ," 212,4 "," 196,0 ", 1.240 ," 243,0 "," 207,1 ", 1.269 ," 262,8 "," 287,0 ", 1.380 ," 396,1 "," 260,7 ", 1.380 ," 359,8 "," 260,7 ", 1.380 ," 359,8 "," 358,9 ", 1.470 ," 527,6 "," 416,3 ", 1.568 ," 652,8 "," 418,9 ", 1.483 ," 621,2 "," 318,8 ", 1.600 ," 510,1 "," 275,0 ", 1.640 ," 451,0 "," 293,4 ", 1.800 ," 528,1 "," 286,5 ", 1.800 ," 522,9 "," 281,6 ", 2.010 ," 566,0 "," 275,7 ", 2.078 ," 572,9 "," 270,2 ", 1.970 ," 532,3 "," 268,0 ", 2.324 ," 622,8 "," 245,2 ", 2.305 ," 565,2 "," 217,8 ", 2.482 ," 540,6 "," 213,1 ", 2.556 ," 544,7 "," 236,3 ", 2.538 ," 599,7 ","199,1",2.841,"565,6","184,1",2.916,"536,8","218,7",3.232,"706,8"," 196,1 ", 3.299 ," 646,9 "," 258,3 ", 3.270 ," 844,7 "," 236,9 ", 3.320 ," 786,5 "," 249,5 ", 3.067 ," 765,1 "," 264,6 ", 3.155 ," 834,8 "," 264,6 ", 4.715 ," 1.247,6 "
TO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 97,4 ", 1.325 , 129 ," 104,4 ", 1.430 , 149 ," 77,0 ", 751 , 58 ," 68,0 ", 1.229 ," 83,6 "," 71,0 ", 1.300 ," 92,3 "," 65,0 ", 1.231 ," 80,0 "," 65,3 ", 1.300 ," 84,9 "," 74,0 ", 1.500 ," 111,0 "," 72,0 ", 1.900 ," 136,8 "," 60,0 ", 2.000 ," 120,0 "," 55,2 ", 1.764 ," 97,4 "," 53,0 ", 2.121 ," 112,4 "," 57,5 ", 2.000 ," 115,0 "," 61,5 ", 1.959 ," 120,5 "," 63,3 ", 1.961 ," 124,1 "," 69,0 ", 2.290 ," 158,0 "," 77,9 ", 2.290 ," 179,2 "," 78,5 ", 2.018 ," 158,4 "," 75,4 ", 2.227 ," 167,9 "," 85,9 ", 3.278 ," 281,6 "," 96,3 ", 2.842 ," 273,7 "," 83,9 ", 3.158 ," 264,9 "," 77,7 ", 3.422 ," 265,9 "," 97,1 ", 3.968 ," 385,3 "," 103,6 ", 4.321 ," 447,6 ","95,2",4.704,"447,8","151,9",4.500,"683,5","218,3",4.811,"1.050,2"," 167,6 ", 3.223 ," 540,2 "," 201,2 ", 4.485 ," 902,4 "," 211,1 ", 3.637 ," 767,7 "," 239,4 ", 4.986 ," 1.193,7 "," 282,3 ", 5.242 ," 1.479,8 "," 284,4 ", 4.795 ," 1.363,8 "
MA," 396,8 ", 596 , 237 ," 421,8 ", 605 , 255 ," 380,0 ", 589 , 224 ," 503,0 ", 529 , 266 ," 507,0 ", 349 , 177 ," 556,0 ", 545 , 303 ," 473,0 ", 200 , 95 ," 468,0 ", 700 , 328 ," 421,0 ", 300 , 126 ," 530,0 ", 547 , 290 ," 551,8 ", 210 , 116 ," 551,8 ", 625 , 345 ," 570,0 ", 600 , 342 ," 524,0 ", 330 , 173 ," 563,0 ", 630 ," 354,7 "," 580,0 ", 409 ," 237,2 "," 533,6 ", 370 ," 197,4 "," 590,2 ", 700 ," 413,1 "," 650,0 ", 650 ," 422,5 "," 650,0 ", 700 ," 455,0 "," 585,0 ", 620 ," 362,7 "," 304,2 ", 690 ," 209,9 "," 317,9 ", 925 ," 294,1 "," 320,0 ", 980 ," 313,6 "," 322,9 ", 960 ," 310,0 "," 324,5 ", 1.000 ," 324,5 "," 360,2 ", 1.150 ," 414,2 "," 371,0 ", 1.160 ," 430,4 "," 385,8 ", 1.050 ," 405,1 "," 362,7 ", 1.170 ," 424,4 "," 367,1 ", 1.218 ," 447,1 "," 353,3 ", 1.388 ," 490,4 "," 373,4 ", 1.350 ," 504,1 "," 382,4 ", 1.470 ," 562,1 "," 477,6 ", 1.842 ," 879,7 "," 454,6 ", 1.609 ," 731,6 ","506,7",2.584,"1.309,4","606,4",2.846,"1.725,9","514,3",2.857,"1.469,2"," 354,3 ", 2.468 ," 874,4 "," 491,7 ", 3.970 ," 1.951,9 "," 483,4 ", 3.897 ," 1.884,0 "," 410,8 ", 4.363 ," 1.792,5 "," 452,4 ", 4.855 ," 2.196,3 "," 453,5 ", 4.336 ," 1.966,3 "
PI," 198,2 ", 660 , 131 ," 208,1 ", 833 , 173 ," 170,0 ", 676 , 115 ," 308,0 ", 249 , 77 ," 283,0 ", 208 , 59 ," 389,5 ", 290 , 113 ," 266,5 ", 96 , 26 ," 262,0 ", 630 , 165 ," 340,0 ", 520 , 177 ," 475,6 ", 736 , 350 ," 443,5 ", 280 , 124 ," 456,0 ", 830 , 379 ," 428,0 ", 850 , 364 ," 320,0 ", 400 , 128 ," 325,0 ", 790 ," 256,8 "," 386,3 ", 200 ," 77,3 "," 397,9 ", 150 ," 59,7 "," 463,7 ", 950 ," 440,5 "," 460,0 ", 880 ," 404,8 "," 440,0 ", 993 ," 436,9 "," 436,0 ", 406 ," 177,0 "," 257,2 ", 237 ," 61,0 "," 277,7 ", 850 ," 236,0 "," 283,0 ", 817 ," 231,2 "," 278,0 ", 520 ," 144,6 "," 280,0 ", 299 ," 83,7 "," 282,8 ", 1.016 ," 287,3 "," 297,8 ", 510 ," 134,0 "," 294,8 ", 663 ," 195,5 "," 290,1 ", 804 ," 233,2 "," 295,3 ", 606 ," 179,0 "," 290,9 ", 1.110 ," 322,9 "," 329,6 ", 1.503 ," 495,4 "," 309,9 ", 1.141 ," 353,6 "," 349,6 ", 2.017 ," 705,1 "," 351,6 ", 2.239 ," 787,2 ","379,8",1.429,"542,8","405,0",2.542,"1.029,4","406,4",2.619,"1.064,3"," 492,5 ", 1.502 ," 739,5 "," 467,4 ", 2.966 ," 1.386,3 "," 488,5 ", 3.048 ," 1.488,8 "," 451,6 ", 4.084 ," 1.844,4 "," 467,6 ", 4.695 ," 2.195,2 "," 431,9 ", 4.042 ," 1.745,9 "
CE," 530,0 ", 660 , 350 ," 496,0 ", 549 , 272 ," 426,0 ", 394 , 168 ," 520,0 ", 212 , 110 ," 520,0 ", 85 , 44 ," 505,8 ", 307 , 155 ," 480,0 ", 36 , 17 ," 400,0 ", 660 , 264 ," 460,0 ", 380 , 175 ," 512,0 ", 430 , 220 ," 638,0 ", 120 , 77 ," 641,0 ", 710 , 455 ," 540,0 ", 480 , 259 ," 630,0 ", 360 , 227 ," 586,0 ", 660 ," 386,8 "," 610,7 ", 300 ," 183,2 "," 486,8 ", 68 ," 33,1 "," 704,3 ", 680 ," 478,9 "," 651,2 ", 720 ," 468,9 "," 688,3 ", 855 ," 588,5 "," 522,6 ", 525 ," 274,4 "," 480,8 ", 190 ," 91,4 "," 581,8 ", 760 ," 442,2 "," 619,0 ", 1.028 ," 636,3 "," 612,8 ", 400 ," 245,1 "," 695,6 ", 895 ," 622,6 "," 713,7 ", 1.050 ," 749,4 "," 681,6 ", 520 ," 372,8 "," 558,9 ", 460 ," 257,1 "," 638,8 ", 1.159 ," 740,4 "," 673,9 ", 498 ," 335,6 "," 694,2 ", 1.084 ," 752,5 "," 689,3 ", 805 ," 554,9 "," 535,6 ", 327 ," 175,1 "," 723,0 ", 1.313 ," 949,3 "," 520,6 ", 142 ," 73,9 ","408,7",240,"98,1","480,6",835,"401,3","480,6",315,"151,4"," 460,2 ", 356 ," 163,8 "," 514,0 ", 815 ," 418,9 "," 535,1 ", 778 ," 416,3 "," 501,9 ", 792 ," 397,5 "," 519,5 ", 1.232 ," 640,0 "," 519,5 ", 855 ," 444,2 "
