,1961 [1961],1962 [1962],1963 [1963],1964 [1964],1965 [1965],1966 [1966],1967 [1967],1968 [1968],1969 [1969],1970 [1970],1971 [1971],1972 [1972],1973 [1973],1974 [1974],1975 [1975],1976 [1976],1977 [1977],1978 [1978],1979 [1979],1980 [1980],1981 [1981],1982 [1982],1983 [1983],1984 [1984],1985 [1985],1986 [1986],1987 [1987],1988 [1988],1989 [1989],1990 [1990],1991 [1991],1992 [1992],1993 [1993],1994 [1994],1995 [1995],1996 [1996],1997 [1997],1998 [1998],1999 [1999],2000 [2000],2001 [2001],2002 [2002],2003 [2003],2004 [2004],2005 [2005],2006 [2006],2007 [2007],2008 [2008],2009 [2009],2010 [2010],2011 [2011],2012 [2012],2013 [2013],2014 [2014],2015 [2015],2016 [2016],2017 [2017],2018 [2018],2019 [2019]
Argentina [9],2744400,2756670,2645400,2970500,3062300,3274500,3450500,3377700,3556000,4017330,4066000,3147200,3565400,3486000,3070000,2765900,2532000,2660000,2800000,2490000,3394000,3170000,2970000,3024800,3340000,3231000,2900000,2437500,1683700,1560330,1900100,2365440,2503010,2445040,2521750,2603720,3410385,3185390,2514650,3088715,2815504,2420124,2322857,2338602,2783436,2447166,2838072,3412155,2353175,2904035,3747838,3696300,4863801,4836655,4626880,5346593,6530673,7138620,7232761
Argentina [9],4850000,5220000,4360000,5350000,5140000,7040000,8510000,6560000,6860000,9360000,9930000,5860000,9700000,9900000,7700000,5855000,8300000,9700000,8700000,6400000,12900000,9600000,9000000,9500000,11900000,12100000,9250000,9200000,4900000,5400000,7684800,10700500,10901000,10360000,11404041,10518290,15536820,19360656,13504100,16780650,15359397,14712079,15044529,14950825,20482572,14445538,21755364,22016926,13121380,22663095,23799830,21196637,32119211,33087165,33817744,39792854,49475895,43462323,56860704
Argentina [9],"1767,2","1893,6","1648,1",1801,"1678,5","2149,9","2466,3","1942,1","1929,1","2329,9","2442,2",1862,"2720,6","2839,9","2508,1","2116,9",3278,"3646,6","3107,1","2570,3","3800,8","3028,4","3030,3","3140,7","3562,9",3745,"3189,7","3774,4","2910,3","3460,8","4044,4","4523,7","4355,2","4237,1","4522,3","4039,7","4555,7",6078,"5370,2","5432,9","5455,3","6079,1","6476,7","6393,1","7358,7",5903,"7665,5","6452,5",5576,7804,"6350,3","5734,6","6603,7","6840,9",7309,"7442,7","7575,9","6088,3",
Brazil [21],6885740,7347881,7957633,8105894,8771318,8703169,9274321,9584386,9653757,9858108,10550489,10538943,9923570,10672450,10854687,11117570,11797411,11124827,11318885,11451293,11520336,12619531,10705979,12018446,11798349,12460130,13499440,13181990,12918980,11394300,13063700,13363609,11869663,13748813,13946320,11975811,12562130,10585498,11611483,11890376,12335175,11760965,12965678,12410677,11549425,12613094,13767400,14444582,13654715,12678875,13218892,14198496,15279652,15432909,15407143,14970502,17427206,16121147,17518054
Brazil [21],9036237,9587285,10418267,9408043,12111921,11371455,12824380,12813638,12693435,14216009,14129749,14891444,14185877,16273227,16334516,17751072,19255936,13569401,16306380,20372080,21116912,21842480,18731216,21164144,22018176,20541230,26786650,24749550,26589870,21347770,23624340,30506127,30055633,32487625,36266951,29652791,32948044,29601753,32239479,32321000,41962475,35940832,48327323,41787558,35113312,42661677,52112217,58933347,50719822,55364271,55660235,71072810,80273172,79881614,85283074,64188314,97910658,82288298,101138617
Brazil [21],"1312,3","1304,8","1309,2","1160,6","1380,9","1306,6","1382,8","1336,9","1314,9","1442,1","1339,3",1413,"1429,5","1524,8","1504,8","1596,7","1632,2","1219,7","1440,6",1779,1833,"1730,8","1749,6",1761,"1866,2","1648,6","1984,3","1877,5","2058,2","1873,5","1808,4","2282,8","2532,1","2362,9","2600,5","2476,1","2622,8","2796,4","2776,5","2718,2","3401,9","3055,9","3727,3","3367,1","3040,3","3382,3","3785,2",4080,"3714,5","4366,7","4210,7","5005,7","5253,6","5176,1","5535,3","4287,7","5618,3","5104,4",
Canada [33],161912,177776,223586,265065,301891,326415,354540,390233,399500,499294,570639,537010,530131,590833,634943,709000,736100,851850,952600,1022200,1140900,1109000,1074900,1149300,1123400,993800,999300,981400,1034600,1030000,1104800,857700,1012000,955000,1002500,1090000,1045100,1118300,1148800,1106500,1267500,1283200,1226100,1072300,1084700,1060900,1368700,1168800,1142000,1202900,1201700,1417900,1480400,1226600,1311700,1317700,1406200,1430700,
Canada [33],741912,848368,919110,1342189,1511309,1684798,1882976,2076379,1882875,2633677,2945932,2528365,2803381,2619700,3644866,3759500,4249400,4479500,5276100,5753200,6682600,6522300,5931000,6777500,6969900,5911500,7014800,5369200,6571000,7066000,7413000,4882600,6501200,7042900,7270900,7536400,7180000,8952400,9161300,6953700,8389200,8998800,9587300,8836800,9332200,8989800,11648700,10592000,9561200,12043300,11358700,13060100,14190700,11606400,13679500,13889000,14095300,13884800,
Canada [33],"4582,2","4772,1","4110,8","5063,6","5006,1","5161,5",5311,"5320,9","4713,1","5274,8","5162,5","4708,2","5288,1","4433,9","5740,5","5302,5","5772,9","5258,6","5538,6","5628,3","5857,3","5881,2","5517,7","5897,1","6204,3","5948,4","7019,7",5471,"6351,2","6860,2","6709,8","5692,7","6424,1","7374,8","7252,8","6914,1","6870,2","8005,4","7974,7","6284,4","6618,7","7012,8","7819,3",8241,"8603,5","8473,7","8510,8","9062,3","8372,3","10011,9","9452,2","9210,9","9585,7","9462,3","10428,8","10540,3","10023,7","9704,9",
China [351],15215000,12818000,15379210,15368015,15673615,17024011,16021386,16022641,16019040,15838000,16731276,16711746,16584528,17431837,18628725,19250421,19674052,19997980,20146325,20372005,19440258,18564118,18867740,18589201,17755636,19198886,20290803,19773891,20433871,21482665,21648530,21119959,20770936,21229239,22848467,24571227,23836937,25281404,25938564,23086228,24310506,24660837,24092820,25467145,26379450,28482649,29496901,29882708,31203367,32517988,33559864,35046465,36339411,37150395,44995748,44208341,42429378,42158995,41309740
