Date,Argentina,Argentina_1,Argentina_2,Brazil,Brazil_1,Brazil_2,Canada,Canada_1,Canada_2,China,China_1,China_2,India,India_1,India_2,Indonesia,Indonesia_1,Indonesia_2,Mexico,Mexico_1,Mexico_2,Nigeria,Nigeria_1,Nigeria_2,Russian Federation,Russian Federation_1,Russian Federation_2,South Africa,South Africa_1,South Africa_2,USSR,USSR_1,USSR_2,United States of America,United States of America_1,United States of America_2,União Européia,União Européia_1,União Européia_2,Ukraine,Ukraine_1,Ukraine_2
1961-01-01,4850.0,2744.4,1767.2,9036.237,6885.74,1312.3,741.912,161.912,4582.2,18027.091,15215.0,1184.8,4312.0,4507.0,956.7,2283.1,2462.0,927.3,6246.106,6287.747,993.4,1107.0,1375.0,805.1,0.0,0.0,0.0,5293.0,4118.0,1285.3,17113.008,7145.0,2395.1,91388.0,23323.008,3918.4,18502.301,8796.045,30053.1,0.0,0.0,0
1962-01-01,5220.0,2756.67,1893.6,9587.285,7347.881,1304.8,848.368,177.776,4772.1,16286.265,12818.0,1270.6,4607.0,4643.0,992.2,3242.9,3175.0,1021.4,6337.359,6371.704,994.6,991.0,1120.0,884.8,0.0,0.0,0.0,6024.0,4341.0,1387.7,15474.0,7005.0,2209.0,91604.0,22551.008,4062.1,16872.095,8222.43,28927.2,0.0,0.0,0
1963-01-01,4360.0,2645.4,1648.1,10418.267,7957.633,1309.2,919.11,223.586,4110.8,20614.528,15379.21,1340.4,4561.0,4582.0,995.4,2357.8,2559.0,921.4,6870.201,6963.077,986.7,1167.0,1140.0,1023.7,0.0,0.0,0.0,6127.0,4339.0,1412.1,11143.0,6995.0,1593.0,102093.008,23968.0,4259.6,21111.432,8645.842,33096.9,0.0,0.0,0
1964-01-01,5350.0,2970.5,1801.0,9408.043,8105.894,1160.6,1342.189,265.065,5063.6,22732.1,15368.015,1479.2,4664.0,4618.0,1010.0,3768.6,3646.0,1033.6,8454.046,7460.627,1133.2,1118.0,1471.0,760.0,0.0,0.0,0.0,4310.0,4433.0,972.3,13849.0,5114.0,2708.1,88504.0,22407.008,3949.8,20721.819,8405.128,33414.4,0.0,0.0,0
1965-01-01,5140.0,3062.3,1678.5,12111.921,8771.318,1380.9,1511.309,301.891,5006.1,23691.079,15673.615,1511.5,4823.0,4799.0,1005.0,2364.5,2507.0,943.2,8936.381,7718.371,1157.8,1160.0,1404.0,826.2,0.0,0.0,0.0,4608.0,4290.0,1074.1,8030.0,3177.0,2527.5,104216.928,22416.032,4649.2,19656.632,8183.265,32669.7,0.0,0.0,0
1966-01-01,7040.0,3274.5,2149.9,11371.455,8703.169,1306.6,1684.798,326.415,5161.5,29181.639,17024.011,1714.1,4893.6,5073.8,964.5,3717.4,3778.0,984.0,9271.485,8286.935,1118.8,975.0,1145.0,851.5,0.0,0.0,0.0,5161.0,4241.0,1216.9,8416.0,3229.0,2606.4,105861.408,23067.568,4589.2,24485.846,8273.927,38391.3,0.0,0.0,0
1967-01-01,8510.0,3450.5,2466.3,12824.38,9274.321,1382.8,1882.976,354.54,5311.0,31014.082,16021.386,1935.8,6269.3,5583.4,1122.8,2369.101,2547.0,930.2,8603.279,7610.932,1130.4,950.0,1163.0,816.9,0.0,0.0,0.0,9802.0,4589.0,2136.0,9163.0,3485.0,2629.3,123458.304,24561.648,5026.5,23081.07,8233.918,51638.2,0.0,0.0,0
1968-01-01,6560.0,3377.7,1942.1,12813.638,9584.386,1336.9,2076.379,390.233,5320.9,29121.485,16022.641,1817.5,5701.1,5715.8,997.4,3166.05,3220.01,983.2,9061.823,7675.845,1180.6,1126.0,1095.0,1028.3,0.0,0.0,0.0,5358.0,4728.0,1133.2,8828.0,3350.0,2635.2,113022.816,22653.984,4989.1,25182.022,8434.513,40585.7,0.0,0.0,0
1969-01-01,6860.0,3556.0,1929.1,12693.435,9653.757,1314.9,1882.875,399.5,4713.1,28464.781,16019.04,1776.9,5674.3,5862.2,967.9,2292.88,2434.82,941.7,8410.891,7103.509,1184.0,1255.0,1371.0,915.4,0.0,0.0,0.0,5378.0,4387.0,1225.9,11954.0,4167.0,2868.7,119055.936,22085.008,5390.8,28791.558,8623.356,43981.4,0.0,0.0,0
1970-01-01,9360.0,4017.33,2329.9,14216.009,9858.108,1442.1,2633.677,499.294,5274.8,33087.416,15838.0,2089.1,7485.6,5852.3,1279.1,2825.22,2938.61,961.4,8879.385,7439.684,1193.5,1443.0,1449.0,995.9,0.0,0.0,0.0,6179.0,4418.0,1398.6,9428.0,3353.0,2811.8,105471.12,23211.632,4543.9,29366.024,8801.575,47217.1,0.0,0.0,0
1971-01-01,9930.0,4066.0,2442.2,14129.749,10550.489,1339.3,2945.932,570.639,5162.5,35906.819,16731.276,2146.1,5100.5,5667.6,899.9,2606.49,2626.7,992.3,9785.734,7691.656,1272.3,1274.0,1218.0,1046.0,0.0,0.0,0.0,8644.0,4796.0,1802.3,8597.0,3332.0,2580.1,143420.656,25949.296,5527.0,33141.477,9089.057,52068.2,0.0,0.0,0
1972-01-01,5860.0,3147.2,1862.0,14891.444,10538.943,1413.0,2528.365,537.01,4708.2,32170.532,16711.746,1925.0,6388.5,5837.8,1094.3,2254.38,2160.05,1043.7,9222.837,7292.18,1264.8,639.0,1115.0,573.1,0.0,0.0,0.0,9525.0,4968.0,1917.3,9830.0,4012.0,2450.1,141733.312,23274.368,6089.7,35754.698,9445.323,49884.2,0.0,0.0,0
